id,name,type,latitude_deg,longitude_deg
1,Pinehurst Estates,AF Active,40.016159,-74.32859599999999
2,NAWCADLKE Lakehurst,AF Active,40.035835999999996,-74.351661
3,Fort Dix,AF Active,40.01076,-74.531385
4,Langley FH Annex,AF Active,37.097658,-76.423707
5,Arbuckle Airfield,AF Active,27.650094,-81.34294799999999
6,Fort Fisher Recreation Site,AF Active,33.981138,-77.913191
7,Point Arena AFS,AF Active,38.892177000000004,-123.54618
8,Boles Wells System Annex,AF Active,32.770485,-105.93956999999999
9,Dakota Ridge FH Annex,AF Active,44.043155,-103.195901
10,Nellis System Annex,AF Active,36.2394,-115.1367
11,Nellis AFB,AF Active,36.2417,-114.9828
12,England AFB,AF Active,31.325554999999998,-92.541703
13,Tonopah AFS Z164,AF Active,38.140829,-117.199995
14,Tonopah Auxiliary Airfield Annex #2,AF Active,37.88285,-116.76737299999999
15,Wurtsmith AFB,AF Active,44.453289,-83.378493
16,Offutt Communications Annex #2 Globecom,AF Active,41.346219,-96.244206
17,Offutt FH Annex,AF Active,41.126971999999995,-95.954188
18,Nellis Air Force Range,AF Active,37.402848999999996,-116.240366
19,Avon Park AF Range,AF Active,27.647032,-81.277891
20,Beale AFB,AF Active,39.120929,-121.395128
21,Dyess AFB,AF Active,32.422810999999996,-99.83904
22,Ellsworth AFB Site # 1,AF Active,44.151978,-103.093531
23,Holloman AFB,AF Active,32.87178,-106.106007
24,Offutt AFB,AF Active,41.116091,-95.90973100000001
25,Seymour Johnson AFB,AF Active,35.34793,-77.962485
26,Shaw AFB,AF Active,33.974607,-80.470501
27,Langley AFB,AF Active,37.08656,-76.362449
28,Moody AFB,AF Active,30.969619,-83.198561
29,Davis-Monthan AFB,AF Active,32.176866,-110.88276499999999
30,Mountain Home AFB,AF Active,43.048935,-115.865866
31,Creech AFB,AF Active,36.587616,-115.67633700000002
32,Myrtle Beach AFB,AF Active,33.678287,-78.92925
33,Lincoln Communication Annex,AF Active,38.869654,-121.39085700000001
34,Isabela N00207-AB,AF Active,18.46367,-67.065595
35,Salinas N00207-JA,AF Active,18.005191,-66.278163
36,Kelly Field Annex,AF Active,29.379788,-98.585492
37,Keesler Training Annex #1,AF Active,30.407940999999997,-88.957522
38,Lynn Haven Defense Fuel Sup,AF Active,30.2384,-85.6449
39,Columbus Auxiliary Airfield,AF Active,32.940331,-88.579459
40,Maxwell AFB Gunter Annex,AF Active,32.4045,-86.2459
41,Luke Air Force Auxiliary Field #1,AF Active,33.716667,-112.528333
42,Luke Waste Annex,AF Active,33.538462,-112.32183700000002
43,Kegelman Air Force Auxiliary Field,AF Active,36.7385,-98.1275
44,Goodfellow AFB,AF Active,31.432617999999998,-100.405254
45,Luke AFB,AF Active,33.539913,-112.360129
46,Maxwell AFB,AF Active,32.382503,-86.35685500000001
47,Sheppard AFB,AF Active,33.978245,-98.50067
48,Tyndall AFB,AF Active,30.045058,-85.54923199999999
49,The Barry M Goldwater Air Force Range,AF Active,32.640623,-113.055857
50,Randolph AFB,AF Active,29.529821000000002,-98.278474
51,Laughlin AFB,AF Active,29.353921999999997,-100.786642
52,Vance AFB,AF Active,36.341857,-97.91163
53,Columbus AFB,AF Active,33.641302,-88.451121
54,Altus AFB,AF Active,34.663911999999996,-99.274512
55,Gila Bend Air Force Auxiliary Field,AF Active,32.886002000000005,-112.719641
56,Lackland AFB,AF Active,29.388137,-98.610535
57,Camp Bullis Training Annex,AF Active,29.682624,-98.570577
58,Laughlin AFB Aux 1,AF Active,29.11835,-100.280446
59,Seguin Air Force Auxiliary Field,AF Active,29.565766999999997,-97.903976
60,Barksdale AFB,AF Active,32.50015,-93.599897
61,Malmstrom AFB,AF Active,47.506485999999995,-111.182025
62,Ozol Defense Fuel Support Point,AF Active,37.4303,-122.08933300000001
63,Travis System Annex #2,AF Active,38.347,-121.9283
64,White Bluff Site #1,AF Active,47.657,-117.5447
65,Cusick Survival TS,AF Active,48.4777,-117.39399999999999
66,Fairchild AFB,AF Active,47.618545000000005,-117.64823
67,Little Rock AFB,AF Active,34.903971999999996,-92.138514
68,Cavalier AS,AF Active,48.724531,-97.90307
69,Grand Forks AFB,AF Active,47.955476000000004,-97.391251
70,Defense Fuel Support Point,AF Active,47.948652,-97.086139
71,Pope AFB Munitions Storage Area,AF Active,35.188858,-79.062464
72,Pope AFB Site # 1,AF Active,35.172528,-79.011578
73,Grant Training Annex,AF Active,47.12065,-119.29328000000001
74,Mukilteo Defense Fuel Support Point,AF Active,47.90508,-122.29314
75,McChord AFB,AF Active,47.134491,-122.485184
76,MacDill AFB,AF Active,27.843602,-82.501021
77,St Louis AFS,AF Active,38.59138,-90.208614
78,Dover AFB,AF Active,39.127777,-75.466853
79,McConnell AFB,AF Active,37.625184000000004,-97.260274
80,USAF Academy Auxiliary Airfield,AF Active,38.758024,-104.30090799999999
81,USAF Academy,AF Active,38.994834000000004,-104.865348
82,Edwards AFB,AF Active,34.890454,-117.848968
83,Robins AFB,AF Active,32.6175,-83.581376
84,Eglin AFB Auxiliary Field #6,AF Active,30.627909999999996,-86.7389
85,Eglin AFB,AF Active,30.47683,-86.534355
86,Hurlburt Field,AF Active,30.426906,-86.691114
87,Kirtland AFB,AF Active,35.003732,-106.507282
88,Wright-Patterson AFB,AF Active,39.820568,-84.035554
89,Arnold AS,AF Active,35.364917,-86.07944300000001
90,Tinker Support Annex,AF Active,35.403696999999994,-97.360303
91,Cape Cod AS,AF Active,41.752596999999994,-70.53817
92,Verona Test Annex,AF Active,43.147439,-75.611722
93,Verona Defense Fuel Support Point,AF Active,43.126742,-75.591475
94,Newport Test Annex #2 Transmitter,AF Active,43.148198,-75.045162
95,Rome Laboratory,AF Active,43.222583,-75.409981
96,Hanscom AFB,AF Active,42.460089,-71.27788199999999
97,Utah Test and Training Range South UT,AF Active,40.499607,-113.60878899999999
98,UTTR - North,AF Active,40.988127,-113.243495
99,Hill AFB,AF Active,41.125209000000005,-111.992173
100,Little Mountain Test Annex,AF Active,41.252179999999996,-112.246358
101,Elmendorf AFB,AF Active,61.26515799999999,-149.804971
102,Stanly County Airport,AF Guard,35.42003,-80.1432
103,Four Lakes Communications Station (ANG),AF Guard,47.551320000000004,-117.548507
